_id,disc_number,duration_ms,explicit,external_ids,id,is_local,is_playable,name,popularity,preview_url,track_number,type,uri
6417839dc901a82deddf7561,1,194866,False,{'isrc': 'USMR10400189'},7FCthfxjvvXyukvP1dULIW,False,True,You're Still The One - Remixed/Remastered 2004,61,,9,track,spotify:track:7FCthfxjvvXyukvP1dULIW
6417839dc901a82deddf7562,1,247067,False,{'isrc': 'ITB002200745'},7exHT4swWOKL5addPeqkLP,False,True,THE LONELIEST,73,https://p.scdn.co/mp3-preview/c27a30c8b03fc1a2357a49a50577bccc7665f983?cid=cb4ec505f95b416290dde5564512932e,17,track,spotify:track:7exHT4swWOKL5addPeqkLP
6417839dc901a82deddf7563,1,211560,False,{'isrc': 'ITB001700846'},3Wrjm47oTz2sjIgck11l5e,False,True,Beggin',83,https://p.scdn.co/mp3-preview/39cd7cd4317a9e4c4fa1277a51eeadb2e300c7de?cid=cb4ec505f95b416290dde5564512932e,4,track,spotify:track:3Wrjm47oTz2sjIgck11l5e
6417839ec901a82deddf7564,1,173346,True,{'isrc': 'ITB002100115'},4pt5fDVTg5GhEvEtlz9dKk,False,True,I WANNA BE YOUR SLAVE,81,https://p.scdn.co/mp3-preview/485950694eaee2c2887f897603a9bc4acc05c0bf?cid=cb4ec505f95b416290dde5564512932e,4,track,spotify:track:4pt5fDVTg5GhEvEtlz9dKk
6417839ec901a82deddf7565,1,168280,True,{'isrc': 'ITB002200841'},44Xyja7xYPlVC6v2CeweSi,False,True,GOSSIP (feat. Tom Morello),76,https://p.scdn.co/mp3-preview/40aa6c559adbb03930e1451487cb10ffa61867f8?cid=cb4ec505f95b416290dde5564512932e,2,track,spotify:track:44Xyja7xYPlVC6v2CeweSi
6417839ec901a82deddf7566,1,148064,False,{'isrc': 'ITB002200385'},0eJmsdfbAOM1KD0w50EhlD,False,True,SUPERMODEL,71,https://p.scdn.co/mp3-preview/2617ba605508e47cef53a50967047126c1ac8a9e?cid=cb4ec505f95b416290dde5564512932e,16,track,spotify:track:0eJmsdfbAOM1KD0w50EhlD
6417839ec901a82deddf7567,1,164682,False,{'isrc': 'ITB002200844'},2KReCz1L5XkGIBhDncQ5VZ,False,True,BABY SAID,77,https://p.scdn.co/mp3-preview/3fa0ab689c6e46a7040d84e30bd761856a95100c?cid=cb4ec505f95b416290dde5564512932e,5,track,spotify:track:2KReCz1L5XkGIBhDncQ5VZ
6417839ec901a82deddf7568,1,194786,True,{'isrc': 'ITB002100112'},776AftMmFFAWUIEAb3lHhw,False,True,ZITTI E BUONI,72,https://p.scdn.co/mp3-preview/ea4a0a83d990ca24023ed7e067b66e45c8495a75?cid=cb4ec505f95b416290dde5564512932e,1,track,spotify:track:776AftMmFFAWUIEAb3lHhw
6417839ec901a82deddf7569,1,179631,True,{'isrc': 'ITB002200842'},4Tbuh5q66Ygubei5Xru4jB,False,True,TIMEZONE,71,https://p.scdn.co/mp3-preview/467ff910164a108efd3841ea603149bb205b0b53?cid=cb4ec505f95b416290dde5564512932e,3,track,spotify:track:4Tbuh5q66Ygubei5Xru4jB
6417839ec901a82deddf756a,1,186809,True,{'isrc': 'ITB002100961'},7oJ3Nb3LIY1ond1fHF3xio,False,True,MAMMAMIA,64,https://p.scdn.co/mp3-preview/8a24c1ac69ba08a0f944ea7c29b44a131bd3d2d2?cid=cb4ec505f95b416290dde5564512932e,15,track,spotify:track:7oJ3Nb3LIY1ond1fHF3xio
6417839ec901a82deddf756b,1,191856,False,{'isrc': 'ITB002200840'},71tM20RVoYqUUs9EDOso2v,False,True,OWN MY MIND,70,https://p.scdn.co/mp3-preview/de0d901f56e9b427a4edf41fb31e6fccb452515d?cid=cb4ec505f95b416290dde5564512932e,1,track,spotify:track:71tM20RVoYqUUs9EDOso2v
6417839ec901a82deddf756c,1,229670,True,{'isrc': 'USUM71714093'},51rXHuKN8Loc4sUlKPODgH,False,True,"King's Dead (with Kendrick Lamar, Future & James Blake)",68,,1,track,spotify:track:51rXHuKN8Loc4sUlKPODgH
6417839ec901a82deddf756d,1,175213,True,{'isrc': 'USUG11801039'},0gV5B7zmJkS1aaH9APokrH,False,True,Wow Freestyle (feat. Kendrick Lamar),68,,11,track,spotify:track:0gV5B7zmJkS1aaH9APokrH
6417839ec901a82deddf756e,1,215226,True,{'isrc': 'USUG11800877'},69WMdZSqdQwFgLVpbMsZ2J,False,True,WIN,61,,13,track,spotify:track:69WMdZSqdQwFgLVpbMsZ2J
6417839ec901a82deddf756f,1,245466,True,{'isrc': 'TCACB1453826'},6i6cWTCYBOKEdJnWjzm2yk,False,True,Hood Gone Love It (feat. Kendrick Lamar),61,https://p.scdn.co/mp3-preview/91500fd8fdbcbdf6c022dfcb07e242bc38f5b990?cid=cb4ec505f95b416290dde5564512932e,5,track,spotify:track:6i6cWTCYBOKEdJnWjzm2yk
